lane,word,q
0,0,0
1,33589761,1
2,1140858888,0
3,8454336,1
4,0,1
5,2153775136,1
6,262272,0
7,67648,0
8,0,0
9,0,1
10,101318681,0
11,197280,1
12,0,1
13,1149239424,1
14,807403528,0
15,0,0
16,50465792,0
17,0,1
18,0,0
19,8192,1
20,0,1
21,805306386,1
22,2151677952,0
23,536973636,0
24,8538112,0
25,1073741824,1
26,0,0
27,0,1
28,396544,1
29,0,1
30,2230288,0
31,0,0
32,0,0
33,67637248,1
34,0,0
35,0,1
36,786432,1
37,0,1
38,67637248,0
39,0,0
40,0,0
41,4210688,1
42,2156920834,0
43,2416189440,1
44,0,1
45,0,1
46,282067202,0
47,536872960,0
48,16810112,0
49,98368,1
50,32776,0
51,65569,1
52,0,1
53,0,1
54,0,0
55,8520192,0
56,1077936128,0
57,153256960,1
58,268437504,0
59,8434304,1
60,0,1
61,740372482,1
62,0,0
63,268439888,0
64,34869248,0
65,0,1
66,0,0
67,570425345,1
68,20971524,1
69,4325504,1
70,0,0
71,0,0
72,530432,0
73,134217728,1
74,268437504,0
75,0,1
76,1342177360,1
77,33555744,1
78,0,0
79,131136,0
80,0,0
81,0,1
82,0,0
83,0,1
84,16781584,1
85,0,1
86,0,0
87,0,0
88,16949312,0
89,0,1
90,34603044,0
91,268959744,1
92,0,1
93,0,1
94,302024960,0
95,0,0
96,0,0
97,33288,1
98,1,0
99,64,1
100,1074536706,1
101,0,1
102,35914048,0
103,0,0
104,0,0
105,0,1
106,2155872256,0
107,0,1
108,17956868,1
109,0,1
110,0,0
111,0,0
112,0,0
113,0,1
114,0,0
115,0,1
116,0,1
117,67127696,1
118,16777761,0
119,270602240,0
120,409664,0
121,3355443456,1
122,66560,0
123,0,1
124,805306944,1
125,0,1
126,537927681,0
127,131584,0
128,0,0
129,0,1
130,2138112,0
131,0,1
132,20979968,1
133,135794840,1
134,0,0
135,0,0
136,1628045966,0
137,0,1
138,2348941312,0
139,526337,1
140,2059,1
141,34078884,1
142,0,0
143,0,0
144,2416443432,0
145,0,1
146,0,0
147,63246464,1
148,0,1
149,0,1
150,0,0
151,35651584,0
152,0,0
